,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,Ad Name,Date première diffusion,Date dernière diffusion,Durée (jour),SUM de Impr,SUM de Cost,SUM de Clic,Signup,Total 2-sec views,Total Install,Total Signup,,,,,,,,,,,
2026-01-05,TTCX_17579511016_snaptik_7541025327053622550_v2.mp4,01/01,05/01,5,80,0,0,1,9,1,"0,0 €",,,,,,,,,,,
2026-01-05,RS_Theory_Rebrand_LaDevinette.mp4,01/01,05/01,5,158,0,0,0,11,0,"0,0 €",,,,,,,,,,,
2026-01-05,TTCX_17579511015_snaptik_7542516443372440854_v2.mp4,01/01,05/01,5,17,0,0,0,4,0,"0,0 €",,,,,,,,,,,
2026-01-05,RS_Theory_Rebrand_LePremierCoup.mp4,01/01,05/01,5,9,0,0,0,2,0,"0,0 €",,,,,,,,,,,
2026-01-06,#CapCut,01/01,16/02,47,524 956,487,1 786,192,78 262,119,"73,0 €",,,,,,,,,,,
2026-01-06,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,346 997,439,1 070,112,94 285,77,"35,0 €",,,,,,,,,,,
2026-01-06,@Ornikar la base non ?🫣,05/01,13/05,129,306 383,384,1 102,87,82 509,51,"36,0 €",,,,,,,,,,,
2026-01-06,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,219 965,248,567,61,57 952,45,"16,0 €",,,,,,,,,,,
2026-01-06,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,188 787,126,568,57,33 382,36,"21,0 €",,,,,,,,,,,
2026-01-06,_001,04/01,03/04,93,17 437,19,45,7,3 751,7,"0,0 €",,,,,,,,,,,
2026-01-07,@Ornikar la base non ?🫣,05/01,13/05,129,549 583,756,1 818,175,134 784,119,"56,0 €",,,,,,,,,,,
2026-01-07,#CapCut,01/01,16/02,47,583 966,699,1 822,281,80 452,179,"102,0 €",,,,,,,,,,,
2026-01-07,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,414 608,600,1 160,115,91 491,79,"36,0 €",,,,,,,,,,,
2026-01-07,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,90 289,108,192,29,22 027,21,"8,0 €",,,,,,,,,,,
2026-01-07,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,61 451,55,168,26,10 444,17,"9,0 €",,,,,,,,,,,
2026-01-07,_001,04/01,03/04,93,49 065,54,90,21,10 114,15,"6,0 €",,,,,,,,,,,
2026-01-08,@Ornikar la base non ?🫣,05/01,13/05,129,581 592,774,1 717,157,137 333,104,"53,0 €",,,,,,,,,,,
2026-01-08,#CapCut,01/01,16/02,47,512 519,670,1 670,243,73 897,150,"93,0 €",,,,,,,,,,,
2026-01-08,_001,04/01,03/04,93,309 657,414,575,96,73 257,73,"23,0 €",,,,,,,,,,,
2026-01-08,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,306 550,390,856,95,63 879,60,"35,0 €",,,,,,,,,,,
2026-01-08,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,178 596,225,356,50,44 955,36,"14,0 €",,,,,,,,,,,
2026-01-08,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,71 108,66,193,17,11 844,12,"5,0 €",,,,,,,,,,,
2026-01-09,Et tout ça bien moins cher #permis#ornikar#,09/01,03/02,26,377 315,618,1 032,132,95 494,86,"46,0 €",,,,,,,,,,,
2026-01-09,#CapCut,01/01,16/02,47,448 143,594,1 420,163,67 731,98,"65,0 €",,,,,,,,,,,
2026-01-09,Allons pour le permis en 2026,09/01,16/04,98,164 614,249,504,71,31 904,47,24,,,,,,,,,,,
2026-01-09,_001,04/01,03/04,93,183 194,240,393,63,43 261,42,21,,,,,,,,,,,
2026-01-09,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,162 870,211,337,51,43 709,34,17,,,,,,,,,,,
2026-01-09,@Ornikar la base non ?🫣,05/01,13/05,129,146 500,201,460,46,35 008,29,17,,,,,,,,,,,
2026-01-09,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,136 052,179,364,48,29 733,33,15,,,,,,,,,,,
2026-01-09,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,79 563,78,186,23,13 547,16,7,,,,,,,,,,,
2026-01-09,Passe ton permis avec ORNIKAR @Ornikar,09/01,27/01,19,50 754,78,136,12,14 055,9,3,,,,,,,,,,,
2026-01-09,@Ornikar #ornikar,09/01,13/02,36,46 168,59,103,8,6 887,5,3,,,,,,,,,,,
2026-01-09,7592953639335034888,09/01,03/02,26,42 055,58,116,10,5 874,5,5,,,,,,,,,,,
2026-01-09,@Ornikar #ornikar #collab #permisdeconduire,09/01,27/01,19,29 505,43,85,9,6 638,6,3,,,,,,,,,,,
2026-01-10,Et tout ça bien moins cher #permis#ornikar#,09/01,03/02,26,765 240,1 163,2 271,361,168 389,226,135,,,,,,,,,,,
2026-01-10,Allons pour le permis en 2026,09/01,16/04,98,359 844,572,1 161,148,70 009,102,46,,,,,,,,,,,
2026-01-10,#CapCut,01/01,16/02,47,396 458,508,1 373,131,57 297,86,45,,,,,,,,,,,
2026-01-10,_001,04/01,03/04,93,244 261,275,488,95,52 028,62,33,,,,,,,,,,,
2026-01-10,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,100 852,131,227,46,26 169,33,13,,,,,,,,,,,
2026-01-10,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,117 453,117,301,28,19 968,18,10,,,,,,,,,,,
2026-01-10,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,67 555,87,165,18,13 764,15,3,,,,,,,,,,,
2026-01-10,Passe ton permis avec ORNIKAR @Ornikar,09/01,27/01,19,26 953,41,85,16,7 675,9,7,,,,,,,,,,,
2026-01-10,7592953639335034888,09/01,03/02,26,30 128,40,85,9,5 394,8,1,,,,,,,,,,,
2026-01-10,@Ornikar #ornikar #collab #permisdeconduire,09/01,27/01,19,20 754,28,71,2,4 353,1,1,,,,,,,,,,,
2026-01-10,@Ornikar #ornikar,09/01,13/02,36,15 204,21,37,1,2 598,1,0,,,,,,,,,,,
2026-01-11,Et tout ça bien moins cher #permis#ornikar#,09/01,03/02,26,872 346,1 191,2 432,316,178 080,216,100,,,,,,,,,,,
2026-01-11,Allons pour le permis en 2026,09/01,16/04,98,457 660,676,1 393,193,85 639,134,59,,,,,,,,,,,
2026-01-11,#CapCut,01/01,16/02,47,484 891,562,1 640,229,66 978,141,88,,,,,,,,,,,
2026-01-11,_001,04/01,03/04,93,232 093,246,487,90,49 270,63,27,,,,,,,,,,,
